Track,  Person,Type,
Drums,Richard,Drums,
Percussion (beep),Richard,Drums,
Far out out drum loop,Richard,Drums,
Bass,Chris,Bass,
Piano,Richard,Piano,
Vox 1,Richard,Vocals,
Vox 2,Richard,Vocals,
Vox 3,Richard,Vocals,
Vox hi,Richard,Vocals,
Dirty Female,Richard,Vocals,
Dirty Female 2,Richard,Vocals,
Warbling Wave Synth,Thomas,Synth,
Dirty Warble,Thomas,Synth,
Guitar,Richard,Guitar,
Guitar 2,Richard,Guitar,
Guitar 3,Richard,Guitar,
Guitar 4,Richard,Guitar,
Thomas Lead,Thomas,Guitar,
Burns,Richard,Guitar,
Crowd Roar,Richard,Synth,
Orchestra Mix,Thomas,Kontakt/String samples,
Violins,Thomas,Kontakt,
Viola,Thomas,Kontakt,
Cello,Thomas,Kontakt,
Double Bass,Thomas,Kontakt,
Flute,Thomas,Kontakt,
Horns,Thomas,Kontakt,
Organise,Thomas,Synth,
Galloping Disco Break,Thomas,Synth,
Thomas Tweed,Thomas,Guitar,
Thomas Tweed 2,Thomas,Guitar,
Thomas Tweed 3,Thomas,Guitar ,
Thomas Tweed 4,Thomas,Guitar ,
Thomas Tweed 5,Thomas,Guitar ,
Thomas Tweed 6,Thomas,Guitar ,
Thomas Tweed 7 ,Thomas,Guitar ,
T-Guitar 2,Thomas,Guitar ,
,,,
Song by,Richard,Thomas,Chris
Notes:,,,